Item Name,Is Returnable Item,Brand,Manufacturer,Description,Rate,Package Weight,Package Length,Package Height,Package Width,Dimension Unit,Weight Unit,Is Combo Product,Vendor,Purchase Rate
"PO-E- 27"" Touch Screen",false,,,,USD 735.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 490.00
Remedy -- Medium Flower Jar,false,,,,USD 43.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 43.00
8 Product Flower Station Topper,false,,,,USD 2375.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
16 Product Flower Station Topper,false,,,,USD 3225.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"E-Quick Checkout Station -- 22"" (w/o product interaction)",false,,,"22"" quick checkout station w/out product interaction.  Customer may choose to purchase furniture housing for screen separately.",USD 820.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 586.89
"PO-E- 15"" Touch Screen",false,,,,USD 490.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 350.00
"E-Quick Checkout Station -- 15"" (w/o product interaction)",false,,,"15"" quick checkout station w/out product interaction.  Customer may choose to purchase furniture housing for screen separately.",USD 765.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 546.89
Tableu Data License,false,,,,USD 225.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
GC-16 Position Table Top Unit Lift & Learn Flower Station,false,,,,USD 463.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 463.00
Remedy - Security Tether Cables(5pk),false,,,,USD 25.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 25.00
GC - P&P Reader Block,false,,,,USD 315.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 245.00
ZNC Coasters,false,,,,USD 13.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 11.23
GC - 8 unit flower station topper (millwork only),false,,,,USD 637.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 637.00
Dell Optiplex 7060 Micro PC,false,Dell,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 162.34
BENFEI DisplayPort to HDMI Cable,false,,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 12.78
MISC. USB Hubs (various brands),false,,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 90.98
Lenovo ThinkCentre M625q,false,,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 298.62
Misc. power supply,false,,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 27.48
MISC electronics components,false,,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"NH-E-22"" Lift + Learn - 10 SKU",true,,,"'- 22"" display
- 1 NFC reader w/ 8 featured products
- Misc. electronic components",USD 1560.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1059.10
"27"" Replacement",false,,,,USD 865.00,0.00,0.00,0.00,0.00,,,true,,USD 0.00
Computer Fan,false,,,,USD 15.40,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Component -- NFC Tag,false,,,,USD 3.02,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"ZNC 22"" Tabletop Lift N Learn",false,,,"22"" Lift + Learn  w/ 30 product interactions
ZNC Tabletop Flower Station
Planar + Nuc Fabrication",USD 1596.58,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Replacement RFID tags,false,,,,USD 3.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Components,false,,,,USD 0.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Temeka Pick + Place 12 product Table,false,,,,USD 3880.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Sales Tax,false,,,,USD 0.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"Refurbished 22"" Pick & Place -- 24 SKU",false,,,,USD 585.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"27"" Quick Checkout Station w/out product interaction",false,,,,USD 735.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
